geohash_id	consumption_level	activity_level	date_id
4885e281g	-3.2053313	-3.1730587	20230404
4885e281g	36.365517	35.337624	20230405
4885e281g	-1.8484212	-1.8463016	20230406
4885e281g	54.229443	52.51666	20230407
5324516fr	-0.27559775	-0.3188588	20230404
5324516fr	-2.726276	-2.7098768	20230405
5324516fr	-3.1695032	-3.1361759	20230406
5324516fr	55.839054	54.041115	20230407
7941bac5t	54.41502	52.663475	20230404
7941bac5t	-1.3310467	-1.3465276	20230405
7941bac5t	-3.100305	-3.0736754	20230406
7941bac5t	33.989483	33.036602	20230407
94bf2e47u	55.64313	53.831184	20230404
94bf2e47u	37.362507	36.28598	20230405
94bf2e47u	38.799202	37.663506	20230406
94bf2e47u	-1.4450784	-1.4555922	20230407
651310f3v	62.372486	60.34729	20230404
651310f3v	45.428024	44.011105	20230405
651310f3v	30.568714	29.71492	20230406
651310f3v	62.558956	60.527515	20230407
5da786a8w	58.87981	56.969536	20230404
5da786a8w	60.406208	58.449425	20230405
5da786a8w	1.1858836	1.0990784	20230406
5da786a8w	-3.0769472	-3.0591357	20230407
9292842fy	37.093246	36.017017	20230404
9292842fy	-3.2377238	-3.2068446	20230405
9292842fy	54.196976	52.44518	20230406
9292842fy	61.423187	59.431534	20230407
abb13720z	13.621484	13.234993	20230404
abb13720z	31.49727	30.644218	20230405
abb13720z	10.894568	10.595102	20230406
abb13720z	2.760087	2.626043	20230407
babadee5r	61.068447	59.089905	20230404
babadee5r	62.18157	60.163048	20230405
babadee5r	-2.1118503	-2.109923	20230406
babadee5r	60.946815	58.966255	20230407
c2382486x	53.87443	52.126106	20230404
c2382486x	48.490376	46.962822	20230405
c2382486x	3.4716225	3.3302045	20230406
c2382486x	1.0245674	0.94705486	20230407
6b9789f2z	61.532726	59.534668	20230404
6b9789f2z	47.5629	46.031708	20230405
6b9789f2z	25.773071	25.062939	20230406
6b9789f2z	44.68105	43.304554	20230407
b5dbab8e1	-2.0592208	-2.0675452	20230404
b5dbab8e1	52.605656	50.912968	20230405
b5dbab8e1	59.93906	57.99516	20230406
b5dbab8e1	58.127636	56.242218	20230407
dc36a53e3	-3.1087937	-3.0803971	20230404
dc36a53e3	49.93855	48.31604	20230405
dc36a53e3	-2.9960485	-2.9695137	20230406
dc36a53e3	-3.233611	-3.2040308	20230407
66c0fb934	33.456955	32.522266	20230404
66c0fb934	32.12152	31.226704	20230405
66c0fb934	58.82291	56.924522	20230406
66c0fb934	57.630013	55.77552	20230407
b72036c45	56.953808	55.111458	20230404
b72036c45	14.860451	14.446886	20230405
b72036c45	37.03677	35.93759	20230406
b72036c45	25.035854	24.382734	20230407
a0f907866	-2.4887953	-2.4771678	20230404
a0f907866	30.839306	30.011738	20230405
a0f907866	-2.6182704	-2.5996084	20230406
a0f907866	-2.1732845	-2.166597	20230407
76ce9d5f7	61.834545	59.829803	20230404
76ce9d5f7	7.4461603	7.229707	20230405
76ce9d5f7	52.711357	51.041313	20230406
76ce9d5f7	53.64142	51.934364	20230407
460061ab8	53.90071	52.1753	20230404
460061ab8	1.7479315	1.6470621	20230405
460061ab8	43.856804	42.493057	20230406
460061ab8	-3.038477	-3.030332	20230407
9c0c965c9	62.730892	60.693756	20230404
9c0c965c9	36.387104	35.329964	20230405
9c0c965c9	52.63943	50.969776	20230406
9c0c965c9	57.66031	55.806423	20230407
532cc1c3b	60.80202	58.83387	20230404
532cc1c3b	5.7391024	5.540901	20230405
532cc1c3b	50.5915	48.99735	20230406
532cc1c3b	34.49411	33.53713	20230407
fb1d6b50c	46.422276	44.95369	20230404
fb1d6b50c	-3.0973086	-3.0713332	20230405
fb1d6b50c	2.2892194	2.1727157	20230406
fb1d6b50c	60.898136	58.918255	20230407
0a2120d0e	62.40751	60.381447	20230404
0a2120d0e	50.572754	48.984627	20230405
0a2120d0e	-2.7055945	-2.686052	20230406
0a2120d0e	-2.9797435	-2.9587648	20230407
06bfd741f	-0.9113945	-0.9606226	20230404
06bfd741f	43.11526	41.789925	20230405
06bfd741f	6.322439	6.113615	20230406
06bfd741f	48.458977	46.96444	20230407
0551d992g	56.739437	54.920906	20230404
0551d992g	49.68829	48.10485	20230405
0551d992g	59.17306	57.261574	20230406
0551d992g	62.917194	60.873886	20230407
740fc409h	51.483227	49.85517	20230404
740fc409h	-1.8132721	-1.8139515	20230405
740fc409h	29.668947	28.899536	20230406
740fc409h	22.74977	22.155441	20230407
dc56e7c0j	42.48608	41.18219	20230404
dc56e7c0j	61.597225	59.600327	20230405
dc56e7c0j	62.600674	60.56789	20230406
dc56e7c0j	-2.8721857	-2.8552034	20230407
02a9ee71k	55.77303	53.988865	20230404
02a9ee71k	62.84995	60.80886	20230405
02a9ee71k	61.412846	59.419777	20230406
02a9ee71k	55.019497	53.26677	20230407
ade14f48m	62.90743	60.864418	20230404
ade14f48m	62.841183	60.80037	20230405
ade14f48m	62.94062	60.896603	20230406
ade14f48m	-3.0092916	-2.9878685	20230407
68abda28n	55.6531	53.868164	20230404
68abda28n	58.248707	56.37135	20230405
68abda28n	62.546886	60.516106	20230406
68abda28n	27.392008	26.687874	20230407
d83a679ep	47.646217	46.157482	20230404
d83a679ep	57.209297	55.35888	20230405
d83a679ep	45.96729	44.520958	20230406
d83a679ep	61.183613	59.198544	20230407
df3d371fq	62.526867	60.496086	20230404
df3d371fq	5.3913093	5.2254558	20230405
df3d371fq	35.570103	34.550613	20230406
df3d371fq	56.55242	54.73608	20230407
3973ea35r	62.9122	60.869102	20230404
3973ea35r	7.5089293	7.297615	20230405
3973ea35r	62.769207	60.730846	20230406
3973ea35r	32.506847	31.614048	20230407
8a966469s	62.944897	60.90075	20230404
8a966469s	54.945244	53.188477	20230405
8a966469s	62.891857	60.849396	20230406
8a966469s	57.554585	55.703316	20230407
8d978969t	53.77859	52.04589	20230404
8d978969t	62.53328	60.502754	20230405
8d978969t	58.845776	56.942566	20230406
8d978969t	55.77377	53.98432	20230407
6e03f027u	47.27629	45.772896	20230404
6e03f027u	62.820763	60.78085	20230405
6e03f027u	57.581394	55.717594	20230406
6e03f027u	52.981087	51.291157	20230407
fdcd79d7v	62.89515	60.852486	20230404
fdcd79d7v	37.388973	36.28201	20230405
fdcd79d7v	44.302654	42.90426	20230406
fdcd79d7v	62.94293	60.898808	20230407
aa8ebe0aw	62.905144	60.862213	20230404
aa8ebe0aw	61.085377	59.105453	20230405
aa8ebe0aw	62.91614	60.872883	20230406
aa8ebe0aw	49.435627	47.875446	20230407
ac59bae0x	62.946384	60.90217	20230404
ac59bae0x	52.80939	51.105278	20230405
ac59bae0x	62.960743	60.9161	20230406
ac59bae0x	59.662464	57.728146	20230407
1c1f3efay	60.49262	58.533348	20230404
1c1f3efay	43.226917	41.872417	20230405
1c1f3efay	44.58572	43.19464	20230406
1c1f3efay	62.931347	60.887604	20230407
426f2c6fz	62.606403	60.573402	20230404
426f2c6fz	48.976906	47.436836	20230405
426f2c6fz	47.19572	45.715828	20230406
426f2c6fz	40.371853	39.142845	20230407
885a4d780	36.73781	35.64749	20230404
885a4d780	59.997406	58.053	20230405
